"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Digikey"
"C1","1","22uF","","","","Capacitor_SMD:C_1206_3216Metric","~","CL31A226KAHNNNE"
"C2,C5","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~","GRM21BR61C105MA01L"
"C3","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~","KGM21KR51H104KU"
"C4","1","100uF","","","","Capacitor_SMD:CP_Elec_6.3x5.8","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uud.pdf","UUD1C101MCL1GS"
"C6","1","4.7uF","","","","Capacitor_SMD:C_1206_3216Metric","~","GRM319R61H475KA12D"
"D1","1","LED1","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D2","1","LED2","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D3","1","LED3","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D4","1","LED4","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D5","1","LED5","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D6","1","LED6","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D7","1","LED7","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D8","1","LED8","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D9","1","LED9","","","","LED_THT:LED_D3.0mm","~","151031SS04000"
"D10","1","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf","B140Q-13-F"
"D12","1","LED","","","","LED_SMD:LED_0805_2012Metric","~","LTST-C170GKT"
"D13","1","SP0503BAHT","","","","Package_TO_SOT_SMD:SOT-143","http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf"," SP0503BAHTG"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.5mm_Pad_Via","~",""
"J1","1","S6B-XH-A","","","","0_connector:JST_S6B-XH-A","","S6B-XH-A"
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4110","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"," USB4110-GF-A"
"J3","1","TC2030","","Excluded from BOM","","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/2019/12/TC2030-IDC-NL-Datasheet-Rev-B.pdf",""
"KEY1,KEY2,KEY3,KEY4,KEY5,KEY6","6","~","","","","0_switch:HPA300 Key","",""
"Q1","1","UMH3N","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/digital/emh3t2r-e.pdf","UMH3NFHATN"
"R1","1","200","","","","Resistor_SMD:R_0805_2012Metric","~","CRCW0805200RFKEAC"
"R2,R3,R4,R5,R6,R7,R8,R9,R10","9","470","","","","Resistor_SMD:R_0805_2012Metric","~","CRGCQ0805J470R"
"R11","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K00FKEA"
"R12,R13","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~","CRCW08055K10FKEA"
"R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28","15","10k","","","","Resistor_SMD:R_0805_2012Metric","~","CRCW080510K0FKEA"
"SW1","1","RESET","","","","0_switch:SW_B3U-1100P","","B3U-1100P"
"SW2","1","BOOT","","","","0_switch:SW_B3U-1100P","","B3U-1100P"
"TP1","1","GND","","","","TestPoint:TestPoint_Pad_D1.0mm","~",""
"TP2","1","3.3V","","","","TestPoint:TestPoint_Pad_D1.0mm","~",""
"TP3","1","5V","","","","TestPoint:TestPoint_Pad_D1.0mm","~",""
"TP4","1","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~",""
"U1","1","ESP32-S2-SOLO-2","","","","0_mcu:ESP32-S2-SOLO-2","","ESP32-S2-SOLO-2-N4"
"U2","1","CD74HC238PWR","","","","0_74xx:PW0016A_N","https://www.ti.com/lit/gpn/cd74hc238","CD74HC238PWR"
"U3","1","LDL1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/0e/5a/00/ca/10/1a/4f/a5/DM00366442/files/DM00366442.pdf/jcr:content/translations/en.DM00366442.pdf","LDL1117S33R"
"U4","1","TBD62783A","","","","Package_SO:SSOP-18_4.4x6.5mm_P0.65mm","http://toshiba.semicon-storage.com/info/docget.jsp?did=30523&prodName=TBD62783APG","TBD62783AFNG,EL"
